id,journal_id,name
OPTIMIZED.JOURNAL_0,journal_of_emergency_nursing,Journal of emergency nursing
OPTIMIZED.JOURNAL_1,hôpitaux_universitaires_de_genève,Hôpitaux Universitaires de Genève
OPTIMIZED.JOURNAL_2,the_journal_of_pediatrics,The Journal of pediatrics
OPTIMIZED.JOURNAL_3,journal_of_food_protection,Journal of food protection
OPTIMIZED.JOURNAL_4,american_journal_of_veterinary_research,American journal of veterinary research
OPTIMIZED.JOURNAL_5,psychopharmacology,Psychopharmacology
OPTIMIZED.JOURNAL_6,the_journal_of_allergy_and_clinical_immunology._in_practice,The journal of allergy and clinical immunology. In practice
OPTIMIZED.JOURNAL_7,"journal_of_photochemistry_and_photobiology._b,_biology","Journal of photochemistry and photobiology. B, Biology"
OPTIMIZED.JOURNAL_8,the_journal_of_maternal-fetal_&_neonatal_medicine,The journal of maternal-fetal & neonatal medicine
OPTIMIZED.JOURNAL_9,journal_of_back_and_musculoskeletal_rehabilitation,Journal of back and musculoskeletal rehabilitation
